TMeanE,TMeanP,TMeanA,TDistance,FMeanE,FMeanP,FMeanA,FDistance,BMeanE,BMeanP,BMeanA,BDistance,MMeanE,MMeanP,MMeanA,MDistance
2.33478261,1.33043478,0.4,0,1.47391304,2.00869565,1.06956522,0,2.65652174,2.06,1.13913043,0,2.80434783,2.16956522,1.0826087,0
2.47,1.4,0.44,0.157235691,1.26,1.94,1.09,0.225600224,2.48,1.96,1.15,0.203170057,2.68,2.33,0.79,0.356120138
2.08,1.38,0.17,0.346800936,1.65,2.07,1.32,0.312221748,2.75,1.97,1.39,0.28244243,2.75,1.97,1.39,0.370498819
2.12,1.22,0.73,0.408934482,1.36,2.23,1.2,0.281007167,2.75,1.92,1.37,0.285725294,2.75,1.92,1.37,0.384486989
2.05,1.34,0.7,0.413754309,1.42,1.96,0.8,0.279183255,2.75,1.88,1.38,0.314890989,2.48,1.96,1.15,0.39199577
2.31,1.25,0.85,0.457803377,1.41,2.15,0.81,0.30236716,2.68,2.33,0.79,0.441976567,3,2.37,1.41,0.430858371
